	channel_name , channel_genre, channel_subgenre
	Home Shop 18	,Infotainment	,Hindi Entertainment
	Dabangg	,MOVIES,	,Hindi, Entertainment
	NT 1	,Infotainment,	Hindi Entertainment
	CHANNEL WIN	,DEVOTIONAL,	Hindi Entertainment
	EZMall	,Infotainment,	Hindi Entertainment
	Sadhna National	,DEVOTIONAL,	Devotional
	Sanskar tv	,DEVOTIONAL,	Devotional
	Aastha	,DEVOTIONAL,	Devotional
	God TV	,DEVOTIONAL,	Devotional
	Arihant	,DEVOTIONAL,	Devotional
	Paras TV	,DEVOTIONAL,	Devotional
	Aastha Bhajan	,DEVOTIONAL,	Devotional
	Jinvani	DEVOTIONAL	,Devotional,
	Peace Of Mind TV	,DEVOTIONAL,	Devotional
	HOPE Channel	,DEVOTIONAL,	Devotional
	Lord Buddha	,DEVOTIONAL,	Devotional
	Shubsandesh TV	,DEVOTIONAL,	Devotional
	Satsang	,DEVOTIONAL,	Devotional
	Darshan 24	,DEVOTIONAL,	Devotional
	Divya	,DEVOTIONAL,	Devotional
	Vedic	,Infotainment,	Devotional
	Adhyatm	,DEVOTIONAL,	Devotional
	Sarv Dharam Sangam	DEVOTIONAL	Devotional
	Surya Bhakti	,DEVOTIONAL,	Devotional
	India TV	,NEWS AND CURRENT AFFAIRS,	Hindi News
	News 24	,NEWS AND CURRENT AFFAIRS,	Hindi News
	TV9 Marathi	,NEWS AND CURRENT AFFAIRS,	Hindi News
	India News	,NEWS AND CURRENT AFFAIRS,,	Hindi News
	News Nation	,NEWS AND CURRENT AFFAIRS,	Hindi News
	Republic Bharat	,NEWS AND CURRENT AFFAIRS,	Hindi News
	Khabar Fast	,NEWS AND CURRENT AFFAIRS,	Hindi News
	SURYA SAMACHAR	,NEWS AND CURRENT AFFAIRS,	Hindi News
	News X	,NEWS AND CURRENT AFFAIRS,	English News
	9X Jhakaas	MUSIC	Marathi
	ABP Majha	,NEWS AND CURRENT AFFAIRS,	Marathi
	Saam	General Entertainment	Marathi
	Jai Maharashtra	,NEWS AND CURRENT AFFAIRS,	Marathi
	MaiBoli	General Entertainment	Marathi
	ABP ASMITA	,NEWS AND CURRENT AFFAIRS,	Marathi
	SANGEET MARATHI	,MUSIC,	Marathi
	Sangeet Bhojpuri	,MUSIC,	Bhojpuri
	9XM	,MUSIC,	Music
	9X Jalwa	,MUSIC,	Music
	9X O	,MUSIC,	Music
	E 24	,MUSIC,	Music
	B4U Movies	,MOVIES,	Hindi Movies
	Dangal	,MOVIES,	Hindi Movies
	Manoranjan TV	,MOVIES,	Hindi Movies
	Cinema TV	,MOVIES,	Hindi Movies
	Wow Cinema	,MOVIES,	Hindi Movies
	Oscar Bhojpuri Movies	,MOVIES,	Hindi Movies
	Aakash Aath	General Entertainment	Bangla
	ABP Ananda	,NEWS AND CURRENT AFFAIRS,	Bangla
	Aradhana	DEVOTIONAL	Telugu
	I PLUS	DEVOTIONAL	Telugu
	PTC News	,NEWS AND CURRENT AFFAIRS,	Punjabi
	Chardikala Time TV	General Entertainment	Punjabi
	PTC Chakde	,MUSIC,	Punjabi
	PTC Punjabi	,General Entertainment,	Punjabi
	Gulistan News	,NEWS AND CURRENT AFFAIRS,	Punjabi
	Russia Today	,NEWS AND CURRENT AFFAIRS,	International
	CGTN	,NEWS AND CURRENT AFFAIRS,	International
	France 24	,NEWS AND CURRENT AFFAIRS,	International
	Munsif TV	,NEWS AND CURRENT AFFAIRS,	Urdu
	GOOD NEWS	,DEVOTIONAL,	News
	ABP News	,NEWS AND CURRENT AFFAIRS,	Hindi News
	Fashion TV	,Infotainment,	Lifestyle
	B4U Music	,MUSIC,	Music
	BTVI	,NEWS AND CURRENT AFFAIRS,	Business News
	Katyayani	,DEVOTIONAL,	Devotional
	REPUBLIC TV	,NEWS AND CURRENT AFFAIRS,	English News
	Bhojpuri Cinema	,MOVIES,	Bhojpuri
	Movies House	,MOVIES,	Hindi Movies
	J K Channel	,NEWS AND CURRENT AFFAIRS,	News
	SURYA CINEMA	,MOVIES,	Hindi Movie