channel_sr,channel_name,channel_genre,channel_language,channel_price,channel_quality
1,ABP Ananda,News,Bengali,0.50,SD
2,ABP Majha,News,Marathi,0.50,SD
3,The History Channel,Infotainment,Hindi,3.00,SD
4,FY1 TV18,Infotainment,English,0.25,SD
5,FY1 TV18 (HD),Infotainment,English,1.00,HD
6,Histroy TV 18 HD,Infotainment,Hindi,7.00,HD
7,AATH,GEC,Bangla,4.00,SD
8,SONY Marathi,GEC,Marathi,4.00,SD
9,BBC World News,News,English,1.00,SD
10,Zoom,GEC,Hindi,0.50,SD
11,Romedy Now,Movies,English,6.00,SD
12,MN +,Movies,English,10.00,HD
13,Mirror Now,News,English/Hindi,2.00,SD
14,ET NOW,News,English/Hindi,3.00,SD
15,Times Now,News,English/Hindi,3.00,SD
16,Romedy Now HD,Movies,English,9.00,HD
17,Movies Now HD,Movies,English,12.00,HD
18,MNX HD,Movies,English,9.00,HD
19,MNX,Movies,English,6.00,SD
20,Times Now HD,News,English,5.00,HD
21,Travel XP HD,Lifestyle,English,9.00,HD
22,Travel XP Tamil,Lifestyle,Tamil,1.50,SD
23,JAN TV PLUS,News,Hindi,50.00,SD
24,Animal Planet,Infotainment,English/Hindi,2.00,SD
25,Discovery Channel,Infotainment,English/Hindi,4.00,SD
26,Discovery Channel – Tamil,Infotainment,Tamil,4.00,SD
27,Discovery Kids Channel,Kids,English,3.00,SD
28,Discovery Science,Infotainment,English/Hindi,1.00,SD
29,Discovery Turbo,Infotainment,English/Hindi,1.00,SD
30,Discovery Jeet,GEC,Hindi,1.00,SD
31,Discovery HD World,Infotainment,English,6.00,HD
32,Animal Planet HD World,Infotainment,English/Hindi,3.00,HD
33,TLC HD world,Infotainment,English/Hindi,3.00,HD
34,Discovery Jeet HD,GEC,Hindi,2.00,HD
35,TLC,Infotainment,English/Hindi,2.00,SD
36,Dsport,Sports,English,4.00,SD
37,Disney Junior,Kids,English,4.00,SD
38,UTV Movies,Movies,Hindi,2.00,SD
39,Marvel HQ,Kids,English/Hindi,4.00,SD
40,Disney International HD,GEC,English,12.00,HD
41,Hungama TV,Kids,English/Hindi,6.00,SD
42,The Disney Channel,Kids,English/Hindi,8.00,SD
43,UTV HD,Movies,Hindi,8.00,HD
44,ETV,GEC,Telugu,17.00,SD
45,ETV Andhra Pradesh,News,Telugu,1.00,SD
46,ETV - Telangana,News,Telugu,1.00,SD
47,ETV Cinema,Movies,Telugu,6.00,SD
48,ETV Life,GEC,Telugu,1.00,SD
49,ETV Plus,GEC,Telugu,7.00,SD
50,ETV Abhiruchi,GEC,Telugu,2.00,SD
51,ETV HD,GEC,Telugu,19.00,HD
52,ETV Plus HD,GEC,Telugu,9.00,HD
53,ETV Cinema HD,Movies,Telugu,8.00,HD
54,ETV Abhiruchi HD,GEC,Telugu,3.00,HD
55,ETV Life HD,GEC,Telugu,2.00,HD
56,EPIC TV,Infotainment,English/Hindi,2.00,SD
57,UTV Bindass,GEC,Hindi,1.00,SD
58,UTV Action,Movies,Hindi,2.00,SD
59,Topper TV,Miscellaneous,English,59.32,SD
60,News 18 Lokmat,News,Hindi,0.25,SD
61,Living Foodz HD,Infotainment,Hindi,10.00,HD
62,Living Travelz,Infotainment,Hindi,0.10,SD
63,J Movies,Movies,Tamil,3.75,SD
64,Jaya Max,Music,Tamil,3.75,SD
65,Jaya Plus,News,Tamil,1.00,SD
66,Jaya TV HD,GEC,Tamil,19.00,HD
67,SONY BBC EARTH,Infotainment,English/Hindi,4.00,SD
68,SONY BBC EARTH HD,Infotainment,English/Hindi,10.00,HD
69,Travel XP,Lifestyle,English,3.00,SD
70,Good Times,Lifestyle,English,1.50,SD
71,NDTV 24*7,News,English,3.00,SD
72,NDTV India,News,Hindi,1.00,SD
73,NDTV Profit,News,English,1.00,SD
74,Fox Life,Lifestyle,English/Hindi,1.00,SD
75,"National Geographic Channel(NGC)",Infotainment,English/Hindi,2.00,SD
76,Fox Life HD,Lifestyle,English/Hindi,1.00,HD
77,Nat Geo Wild,Infotainment,English/Hindi,1.00,SD
78,National Geographic HD,Infotainment,English/Hindi,10.00,HD
79,Nat Geo Music HD,Music,English/Hindi,1.00,HD
80,Nat Geo Wild HD,Infotainment,English/Hindi,5.00,HD
81,Nat Geo People HD,Infotainment,English/Hindi,1.00,HD
82,Baby TV HD,Kids,English/Hindi,1.00,HD
83,"NHK World Premium (HDDistribution)",Infotainment,Japanese,1800.00,HD
84,Prarthana,Devotional,Odia,2.00,SD
85,Tarang,GEC,Odia,10.00,SD
86,Tarang Music,Music,Odia,2.00,SD
87,Alankar,Movies,Odia,4.00,SD
88,News 18 Bihar Jharkhand,News,Hindi,0.25,SD
89,"News 18 Madhya Pradesh /Chattisgarh",News,Hindi,0.25,SD
90,News 18 Rajasthan,News,Hindi,0.25,SD
91,"News 18 Uttar Pradesh/Uttaranchal",News,Hindi,0.25,SD
92,News 18 Urdu,News,Urdu,0.25,SD
93,News 18 Kannada,News,Kannada,0.25,SD
94,News 18 Bangla,News,Bangla,0.25,SD
95,"News 18 Punjab / Haryana /Himanchal Pradesh",News,Punjabi,0.25,SD
96,News 18 Gujarati,News,Gujarati,0.25,SD
97,News 18 Odia,News,Odia,0.25,SD
98,Raj Musix Kannada,Music,Kannada,0.25,SD
99,Raj Digital Plus,Movies,Tamil,1.50,SD
100,Raj Musix,Music,Tamil,1.00,SD
101,Raj News,News,Tamil,0.25,SD
102,Raj TV,GEC,Tamil,3.00,SD
103,Vissa TV,GEC,Telugu,0.50,SD
104,Sarthak TV,GEC,Odia,19.00,SD
105,Mega 24,GEC,Tamil,1.00,SD
106,Mega Musiq,Music,Tamil,2.00,SD
107,Mega TV,GEC,Tamil,3.00,SD
108,Sony YAY!,Kids,English,2.00,SD
109,AXN,GEC,English,5.00,SD
110,SET MAX,Movies,Hindi,15.00,SD
111,MIX,Music,Hindi,1.00,SD
112,SAB,GEC,Hindi,19.00,SD
113,"SONY ENTERTAINMENTCHANNEL (SET)",GEC,Hindi,19.00,SD
114,PIX,Movies,English,10.00,SD
115,SIX,Sports,English/Hindi,15.00,SD
116,MAX 2,Movies,Hindi,1.00,SD
117,PAL,GEC,Hindi,1.00,SD
118,SET HD,GEC,Hindi,19.00,HD
119,SIX HD,Sports,English/Hindi,19.00,HD
120,PIX HD,Movies,English,15.00,HD
121,MAX HD,Movies,Hindi,17.00,HD
122,SONY ESPN HD,Sports,English/Hindi,7.00,HD
123,Ten 2 HD,Sports,English/Hindi,17.00,HD
124,Ten 3 HD,Sports,English/Hindi,17.00,HD
125,SONY ESPN,Sports,English/Hindi,5.00,SD
126,AXN HD,GEC,English,7.00,HD
127,Ten 2,Sports,English/Hindi,15.00,SD
128,Ten 1,Sports,English,19.00,SD
129,Ten 3,Sports,English/Hindi,17.00,SD
130,Ten 1 HD,Sports,English,19.00,HD
131,SONY Wah,Movies,Hindi,1.00,SD
132,SAB HD,GEC,Hindi,19.00,HD
133,Star Sports 3,Sports,English/Hindi,4.00,SD
134,Star Sports 1 Tamil,Sports,Tamil,17.00,SD
135,Star Sports Select 2,Sports,English/Hindi,7.00,SD
136,Star Bharat,GEC,Hindi,10.00,SD
137,Movies OK,Movies,Hindi,1.00,SD
138,Star Sports 1 Hindi,Sports,Hindi,19.00,SD
139,Star Gold,Movies,Hindi,8.00,SD
140,Star Jalsha,GEC,Bangla,19.00,SD
141,Star Movies,Movies,English,12.00,SD
142,Star Gold Select,Movies,Hindi,7.00,SD
143,Star Plus,GEC,Hindi,19.00,SD
144,Star Pravah,GEC,Marathi,9.00,SD
145,Star Sports 1,Sports,English/Hindi,19.00,SD
146,Star Sports 2,Sports,English/Hindi,6.00,SD
147,Star World,GEC,English,8.00,SD
148,Jalsha Movies,Movies,Bangla,6.00,SD
149,Star Sports HD 2,Sports,English/Hindi,19.00,HD
150,Star Sports HD 1,Sports,English/Hindi,19.00,HD
151,Star Bharat HD,GEC,Hindi,19.00,HD
152,Star Gold HD,Movies,Hindi,10.00,HD
153,Star Movies HD,Movies,English,19.00,HD
154,Star Plus HD,GEC,Hindi,19.00,HD
155,Star World Prmiere HD,GEC,English,9.00,HD
156,Star Sports 1 HD Hindi,Sports,Hindi,19.00,HD
157,Star Sports Select 1,Sports,English/Hindi,19.00,SD
158,Star Movies Select HD,Movies,English,10.00,HD
159,Star World HD,GEC,English,9.00,HD
160,Star Sports First,Sports,English/Hindi,1.00,SD
161,MAA Gold,Movies,Telugu,2.00,SD
162,MAA Movies,Movies,Telugu,10.00,SD
163,MAA Music,Music,Telugu,1.00,SD
164,MAA TV,GEC,Telugu,19.00,SD
165,Star Pravah HD,GEC,Marathi,15.00,HD
166,Star Jalsha HD,GEC,Bangla,19.00,HD
167,Jalsha Movies HD,Movies,Bangla,19.00,HD
168,Star Sports Select HD 1,Sports,English/Hindi,19.00,HD
169,Star Sports Select HD 2,Sports,English/Hindi,10.00,HD
170,MAA HD,GEC,Telugu,19.00,HD
171,Star Gold Select HD,Movies,Hindi,10.00,HD
172,MAA Movies HD,Movies,Telugu,19.00,HD
173,Star Sport 1 Telugu,Sports,Telugu,19.00,SD
174,Star Sport 1 Kannada,Sports,Kannada,19.00,SD
175,Star Utsav,GEC,Hindi,1.00,SD
176,Star Utsav Movies,Movies,Hindi,1.00,SD
177,Adithya TV,Movies,Tamil,9.00,SD
178,Chintu TV,Kids,Kannada,6.00,SD
179,Chutti TV,Kids,Tamil,6.00,SD
180,Gemini Comedy,Movies,Telugu,5.00,SD
181,Gemini Life,GEC,Telugu,5.00,SD
182,Gemini Movies,Movies,Telugu,17.00,SD
183,Gemini Music,Music,Telugu,4.00,SD
184,Gemini News,News,Telugu,0.10,SD
185,Gemini TV,GEC,Telugu,19.00,SD
186,KTV,Movies,Tamil,19.00,SD
187,Surya Movies,Movies,Malayalam,11.00,SD
188,Kushi TV,Kids,Telugu,4.00,SD
189,SUN Life,GEC,Tamil,9.00,SD
190,Sun Music,Music,Tamil,6.00,SD
191,Sun News,News,Tamil,1.00,SD
192,Surya Music,Music,Malayalam,4.00,SD
193,SUN TV,GEC,Tamil,19.00,SD
194,Surya Comedy,Movies,Malayalam,4.00,SD
195,Surya TV,GEC,Malayalam,12.00,SD
196,Udaya Comedy,Movies,Kannada,6.00,SD
197,Udaya Movies,Movies,Kannada,16.00,SD
198,Udaya Music,Music,Kannada,6.00,SD
199,Udaya News,News,Kannada,0.10,SD
200,Udaya TV,GEC,Kannada,17.00,SD
201,Kochu TV,Kids,Malayalam,5.00,SD
202,Sun TV HD,GEC,Tamil,19.00,HD
203,KTV HD,Movies,Tamil,19.00,HD
204,Sun Music HD,Music,Tamil,19.00,HD
205,Gemini TV HD,GEC,Telugu,19.00,HD
206,Gemini Music HD,Music,Telugu,19.00,HD
207,Gemini Movies HD,Movies,Telugu,19.00,HD
208,Surya TV HD,GEC,Malayalam,19.00,HD
209,Udaya TV HD,GEC,Kannada,19.00,HD
210,Food Food TV,Infotainment,Hindi,1.00,SD
211,Cartoon Network,Kids,Hindi,4.25,SD
212,CNN International,News,English,0.50,SD
213,HBO,Movies,English,10.00,SD
214,POGO,Kids,Hindi,4.25,SD
215,Cartoon Network HD+,Kids,Hindi,10.00,HD
216,WB,Movies,English,1.00,SD
217,HBO HD,Movies,English,15.00,HD
218,CNN News 18,News,English,0.50,SD
219,CNBC Bajaar,News,Gujarati,1.00,SD
220,CNBC TV 18 Prime HD,News,English,1.00,HD
221,CNBC Awaaz,News,Hindi,1.00,SD
222,News 18 Tamil Nadu,News,Tamil,0.25,SD
223,News 18 Kerala,News,Malayalam,0.25,SD
224,News 18 Assam / North East,News,Assamese,0.25,SD
225,News 18 India,News,Hindi,1.00,SD
226,CNBC TV 18,News,English,4.00,SD
227,Aaj Tak,News,Hindi,0.75,SD
228,India Today,News,English,1.00,SD
229,AAJ Tak HD,News,Hindi,1.50,HD
230,Aaj Tak Tez,News,Hindi,0.25,SD
231,Colors,GEC,Hindi,19.00,SD
232,"Comedy Central (HDDistribution)",GEC,English,9.00,HD
233,MTV,Music,Hindi,3.00,SD
234,NICK,Kids,Hindi,6.00,SD
235,NICK JR,Kids,English,1.00,SD
236,SONIC,Kids,Hindi,2.00,SD
237,VH 1 (HD Distribution),Music,English,2.00,HD
238,Colors Infinity HD,GEC,English,9.00,HD
239,Colors Infinity,GEC,English,7.00,SD
240,Colors HD,GEC,Hindi,19.00,HD
241,NICKS HD+,Kids,Hindi,10.00,HD
242,Rishtey Cineplex,Movies,Hindi,3.00,SD
243,MTV Beats,Music,Hindi,0.50,SD
244,Colors Kannada HD,GEC,Kannada,19.00,HD
245,Colors Marathi HD,GEC,Marathi,17.00,HD
246,Colors Bangla HD,GEC,Bangla,14.00,HD
247,Colors Super,GEC,Kannada,3.00,SD
248,Colors Bangla,GEC,Bangla,7.00,SD
249,Colors Gujarati,GEC,Gujarati,5.00,SD
250,Colors Kannada,GEC,Kannada,19.00,SD
251,Colors Marathi,GEC,Marathi,10.00,SD
252,Colors Oriya,GEC,Oriya,6.00,SD
253,MTV Beats HD,Music,Hindi,1.00,HD
254,Colors Tamil,GEC,Tamil,3.00,SD
255,Cineplex HD,Movies,Hindi,5.00,HD
256,VH 1,Music,English,1.00,SD
257,Colors Tamil HD,GEC,Tamil,7.00,HD
258,MTV HD+,Music,Hindi,5.00,HD
259,Rishtey,GEC,Hindi,1.00,SD
260,Colors Kannada Cinema,Movies,Kannada,2.00,SD
261,Colors Gujarati Cinema,Movies,Gujarati,1.00,SD
262,Comedy Central,GEC,English,7.00,SD
263,Colors Bangla Cinema,Movies,Bangla,1.00,SD
264,Vijay TV,GEC,Tamil,17.00,SD
265,Vijay Super,GEC,Tamil,2.00,SD
266,Vijay HD,GEC,Tamil,19.00,HD
267,Asianet,Malayalam,GEC,19.00,SD
268,Asianet Plus,Malayalam,GEC,5.00,SD
269,Asianet Movies,Malayalam,Movies,15.00,SD
270,Suvarna Plus,Kannada,Movies,5.00,SD
271,Star Suvarna,Kannada,GEC,19.00,SD
272,Asianet HD,Malayalam,GEC,19.00,SD
273,Star Suvarna,Kannada,GEC,19.00,SD
274,24 Ghanta,News,Bangla,0.10,SD
275,Zee Bollywood,Movies,Hindi,2.00,SD
276,Zee Action,Movies,Hindi,1.00,SD
277,Zee Bangla Cinema,Movies,Bangla,5.00,SD
278,Zee Café HD,GEC,English,19.00,HD
279,Zee Café,GEC,English,15.00,SD
280,Zee Cinema,Movies,Hindi,19.00,SD
281,Zee Talkies,Movies,Marathi,12.00,SD
282,Zee TV,GEC,Hindi,19.00,SD
283,Zing,Music,Hindi,0.10,SD
284,& Picture,Movies,Hindi,10.00,SD
285,Zee Bangla,GEC,Bangla,19.00,SD
286,Zee Marathi,GEC,Marathi,19.00,SD
287,Living Foodz,Infotainment,English/Hindi,1.00,SD
288,Zee TV HD,GEC,Hindi,19.00,HD
289,Zee Cinema HD,Movies,Hindi,19.00,HD
290,& TV,GEC,Hindi,12.00,SD
291,& TV HD,GEC,Hindi,19.00,HD
292,Zee Kannada,GEC,Kannada,19.00,SD
293,Zee Telugu,GEC,Telugu,19.00,SD
294,& Pictures HD,Movies,English/Hindi,19.00,HD
295,Zee Cinemalu,Movies,Telugu,10.00,SD
296,Zee Yuva,GEC,Marathi,4.00,SD
297,Zee Marathi HD,GEC,Marathi,19.00,HD
298,Living Zen,Infotainment,Hindi,0.10,SD
299,& Prive HD,Movies,English,19.00,HD
300,Zee Bangla HD,GEC,Bangla,19.00,HD
301,Zee Tamil HD,GEC,Tamil,19.00,HD
302,Zee Cinemalu HD,Movies,Telugu,16.00,HD
303,Zee Telugu HD,GEC,Telugu,19.00,HD
304,Zee Tamil,GEC,Tamil,12.00,SD
305,Zee Kannada HD,GEC,Kannada,19.00,HD
306,Zee Anmol Cinema,Movies,Hindi,0.10,SD
307,& Flix HD,Movies,English,19.00,HD
308,& Flix,Movies,English,15.00,SD
309,Zee Keralam HD,GEC,Malayalam,8.00,HD
310,Zee Keralam,GEC,Malayalam,0.10,SD
311,Zee ETC,Music,Hindi,0.10,SD
312,Zee Anmol,GEC,Hindi,0.10,SD
313,Big Magic,GEC,Hindi,0.10,SD
314,Big Ganga,GEC,Bhojpuri,0.50,SD
315,Zee Talkies HD,Movies,Marathi,19.00,HD
316,Zee 24 Taas,News,Marathi,0.10,SD
317,Zee Odisha,News,Odia,0.10,SD
318,Zee Business,News,Hindi,0.10,SD
319,"Zee Punjab HaryanaHimachal",News,Hindi,0.10,SD
320,"Zee Madhya PradeshChattisgarh",News,Hindi,0.10,SD
321,Zee Salaam,News,Urdu,0.10,SD
322,Zee 24 Kalak,News,Hindi,0.10,SD
323,WION,News,Hindi,1.00,SD
324,"Zee Uttar PradeshUttrakhand",News,Hindi,0.10,SD
325,Zee Hindustan,News,Hindi,0.10,SD
326,Ezmall.com,Miscellaneous,Hindi,0.10,SD
327,Zee Bihar Jharkhand,News,Hindi,0.10,SD
328,Zee News,News,Hindi,0.10,SD
329,Zee Rajasthan News,News,Hindi,0.10,SD
330,Movies Now,Movies,English,10.00,SD